07-10-17,Iowa St,38,@Oklahoma,31,,
07-10-17,Army,49,@Rice,12,,
07-10-17,@Houston,35,SMU,22,,
07-10-17,@TCU,31,West Virginia,24,,
07-10-17,@Texas,40,Kansas St,34,O2,
07-10-17,Alabama,27,@Texas A&M,19,,
07-10-17,ULM,45,@Texas St,27,,
07-10-17,@Tulane,62,Tulsa,28,,
07-10-17,@UAB,23,Louisiana Tech,22,,
07-10-17,Southern Miss,31,@UT San Antonio,29,,
07-10-17,Georgia,45,@Vanderbilt,14,,
07-10-17,Arizona,45,@Colorado,42,,
07-10-17,WKU,15,@UTEP,14,,
07-10-17,Stanford,23,@Utah,20,,
07-10-17,Colorado St,27,@Utah St,14,,
07-10-17,ULL,21,@Idaho,16,,
07-10-17,Washington St,33,@Oregon,10,,
07-10-17,Fresno St,27,@San Jose St,10,,
07-10-17,San Diego St,41,@UNLV,10,,
07-10-17,@USC,38,Oregon St,10,,
07-10-17,@Washington,38,California,7,,
07-10-17,@Nevada,35,Hawaii,21,,
07-10-17,@Indiana,27,Charleston So,0,,
11-10-17,South Alabama,19,@Troy,8,,
12-10-17,@ULL,24,Texas St,7,,
13-10-17,@Syracuse,27,Clemson,24,,
13-10-17,@California,37,Washington St,3,,
14-10-17,@Miami FL,25,Georgia Tech,24,,
14-10-17,@Army,28,E Michigan,27,,
14-10-17,Ohio,48,@Bowling Green,30,,
14-10-17,N Illinois,14,@Buffalo,13,,
14-10-17,Toledo,30,@C Michigan,10,,
14-10-17,Florida St,17,@Duke,10,,
14-10-17,@Florida Intl,23,Tulane,10,,
14-10-17,Texas A&M,19,@Florida,17,,
14-10-17,@Georgia,53,Missouri,28,,
14-10-17,Michigan,27,@Indiana,20,O1,
14-10-17,@Kent,17,Miami OH,14,,
14-10-17,Boston College,45,@Louisville,42,,
14-10-17,@Marshall,35,Old Dominion,3,,
14-10-17,Northwestern,37,@Maryland,21,,
14-10-17,Virginia,20,@North Carolina,14,,
14-10-17,NC State,35,@Pittsburgh,17,,
14-10-17,Connecticut,28,@Temple,24,,
14-10-17,South Carolina,15,@Tennessee,9,,
14-10-17,@UCF,63,East Carolina,21,,
14-10-17,@West Virginia,46,Texas Tech,35,,
